State,Continent,Total_Arrivals
Johor,America,9861
Johor,East Asia,464974
Johor,Europe,51181
Johor,Non South East Asia,18310
Johor,South Asia,67553
Johor,South East Asia,7275410
Johor,West Asia,17890
Kedah,America,110758
Kedah,East Asia,574597
Kedah,Europe,390134
Kedah,Non South East Asia,146073
Kedah,South Asia,183272
Kedah,South East Asia,1045980
Kedah,West Asia,220484
Kelantan,America,2969
Kelantan,Europe,27712
Kelantan,Non South East Asia,3659
Kelantan,South Asia,18674
Kelantan,South East Asia,35934
Kelantan,West Asia,3489
Kuala Lumpur,America,314172
Kuala Lumpur,East Asia,3342480
Kuala Lumpur,Europe,1082939
Kuala Lumpur,Non South East Asia,514170
Kuala Lumpur,South Asia,1038683
Kuala Lumpur,South East Asia,8019347
Kuala Lumpur,West Asia,303758
Labuan,America,810
Labuan,East Asia,8809
Labuan,Europe,1651
Labuan,Non South East Asia,602
Labuan,South Asia,11802
Labuan,South East Asia,338464
Melaka,America,46253
Melaka,East Asia,1486596
Melaka,Europe,192736
Melaka,Non South East Asia,88026
Melaka,South Asia,247572
Melaka,South East Asia,4220615
Melaka,West Asia,61069
Negeri Sembilan,America,2159
Negeri Sembilan,East Asia,11891
Negeri Sembilan,Europe,16422
Negeri Sembilan,Non South East Asia,6966
Negeri Sembilan,South Asia,15879
Negeri Sembilan,South East Asia,532780
Negeri Sembilan,West Asia,18272
Pahang,America,54437
Pahang,East Asia,1475469
Pahang,Europe,259049
Pahang,Non South East Asia,105098
Pahang,South Asia,479448
Pahang,South East Asia,2322400
Pahang,West Asia,152766
Penang,America,149665
Penang,East Asia,681596
Penang,Europe,455832
Penang,Non South East Asia,190781
Penang,South Asia,90087
Penang,South East Asia,2020877
Penang,West Asia,183025
Perak,America,17095
Perak,East Asia,19609
Perak,Europe,79011
Perak,Non South East Asia,16635
Perak,South Asia,38938
Perak,South East Asia,339536
Perak,West Asia,11155
Perlis,Europe,1560
Perlis,Non South East Asia,737
Perlis,South Asia,1471
Perlis,South East Asia,3623
Perlis,West Asia,263
Putrajaya,America,9025
Putrajaya,East Asia,266504
Putrajaya,Europe,72367
Putrajaya,Non South East Asia,59290
Putrajaya,South Asia,159390
Putrajaya,South East Asia,581654
Putrajaya,West Asia,89686
Sabah,America,64561
Sabah,East Asia,2288098
Sabah,Europe,114107
Sabah,Non South East Asia,60393
Sabah,South Asia,6854
Sabah,South East Asia,2610152
Sabah,West Asia,2613
Sarawak,America,46217
Sarawak,East Asia,114292
Sarawak,Europe,99423
Sarawak,Non South East Asia,33531
Sarawak,South Asia,8969
Sarawak,South East Asia,4837917
Sarawak,West Asia,1638
Selangor,America,173863
Selangor,East Asia,1290889
Selangor,Europe,561465
Selangor,Non South East Asia,283681
Selangor,South Asia,631091
Selangor,South East Asia,3101730
Selangor,West Asia,222077
Terengganu,America,18531
Terengganu,East Asia,20244
Terengganu,Europe,170830
Terengganu,Non South East Asia,21748
Terengganu,South Asia,14585
Terengganu,South East Asia,43269
Terengganu,West Asia,5529
