Country,Main_Purpose,Percentage
Singapore,Holiday,40.8
Thailand,Holiday,64.3
Indonesia,Holiday,43.5
Brunei,Holiday,61.5
Philippines,Holiday,78.6
Vietnam,Holiday,91.7
China,Holiday,83.5
Japan,Holiday,70
South Korea,Holiday,81.8
Taiwan,Holiday,94.4
India,Holiday,72.2
Pakistan,Holiday,66.5
Saudi Arabia,Holiday,75.9
United Arab Emirates,Holiday,72.6
Oman,Holiday,71.8
Kuwait,Holiday,90
Iran,Holiday,92.1
Canada,Holiday,80.8
United States of America,Holiday,82.9
United Kingdom,Holiday,83.9
Ireland,Holiday,73.1
Sweden,Holiday,91.7
Denmark,Holiday,94.7
Finland,Holiday,78.7
Norway,Holiday,69.1
Italy,Holiday,75.3
Spain,Holiday,92.3
France,Holiday,84.9
Belgium,Holiday,83.6
Netherlands,Holiday,94.9
Germany,Holiday,90.4
Switzerland,Holiday,93.6
Russia,Holiday,83.3
Australia,Holiday,82.5
New Zealand,Holiday,83.4
South Africa,Holiday,71.7
Central Asia,Holiday,83.1
Other ASEAN,Holiday,77
Other East Asia,Holiday,67.1
Other South Asia,Holiday,68.6
Other West Asia,Holiday,69.2
Other Americas,Holiday,90.1
Other Europe,Holiday,82.7
Others,Holiday,73.3
Singapore,Visiting Friends & Family,27.5
Thailand,Visiting Friends & Family,11.9
Indonesia,Visiting Friends & Family,17.8
Brunei,Visiting Friends & Family,13.9
Philippines,Visiting Friends & Family,9.6
Vietnam,Visiting Friends & Family,1.6
China,Visiting Friends & Family,2.4
Japan,Visiting Friends & Family,0.2
South Korea,Visiting Friends & Family,0.7
Taiwan,Visiting Friends & Family,3.8
India,Visiting Friends & Family,1.7
Pakistan,Visiting Friends & Family,3.8
Saudi Arabia,Visiting Friends & Family,1.3
United Arab Emirates,Visiting Friends & Family,1.8
Oman,Visiting Friends & Family,7.2
Kuwait,Visiting Friends & Family,0
Iran,Visiting Friends & Family,1.4
Canada,Visiting Friends & Family,13.3
United States of America,Visiting Friends & Family,4.6
United Kingdom,Visiting Friends & Family,5.9
Ireland,Visiting Friends & Family,12.9
Sweden,Visiting Friends & Family,0
Denmark,Visiting Friends & Family,0
Finland,Visiting Friends & Family,6.5
Norway,Visiting Friends & Family,3.6
Italy,Visiting Friends & Family,1.4
Spain,Visiting Friends & Family,0.7
France,Visiting Friends & Family,2.4
Belgium,Visiting Friends & Family,7.6
Netherlands,Visiting Friends & Family,1.3
Germany,Visiting Friends & Family,2.8
Switzerland,Visiting Friends & Family,1.8
Russia,Visiting Friends & Family,1.9
Australia,Visiting Friends & Family,5
New Zealand,Visiting Friends & Family,2.1
South Africa,Visiting Friends & Family,1.3
Central Asia,Visiting Friends & Family,0.6
Other ASEAN,Visiting Friends & Family,7.6
Other East Asia,Visiting Friends & Family,19.1
Other South Asia,Visiting Friends & Family,5.8
Other West Asia,Visiting Friends & Family,7.8
Other Americas,Visiting Friends & Family,2.5
Other Europe,Visiting Friends & Family,2.7
Others,Visiting Friends & Family,3.1
Singapore,Business,3.3
Thailand,Business,1.6
Indonesia,Business,1.6
Brunei,Business,1
Philippines,Business,1.9
Vietnam,Business,0.2
China,Business,0.9
Japan,Business,20.1
South Korea,Business,1.2
Taiwan,Business,0.8
India,Business,0.8
Pakistan,Business,2.3
Saudi Arabia,Business,0.7
