Country,Tourist_Arrivals,Population,Latitude,Longitude,Rank
Singapore,10163882,5652000,1.352083,103.8,1
Indonesia,3623277,266614000,-5,120,2
China,3114257,1395261000,35,105,3
Thailand,1884306,69398000,15,100,4
Brunei,1216123,429000,4.5,114.6667,5
India,735309,1375898000,20,77,6
South Korea,673065,51843000,37,127.5,7
Japan,424694,126398000,36,138,8
Philippines,421908,107041000,13,122,9
Vietnam,400346,94827000,16,106,10
Taiwan,382916,23597000,23.5,121,11
Australia,368271,25150000,-27,133,12
United Kingdom,346485,66636000,54,-2,13
United States of America,269928,329071000,38,-97,14
Bangladesh,179000,176198000,24,90,15
France,141661,65236000,46,2,16
Germany,130221,83082000,51,9,17
Saudi Arabia,121444,34200000,25,45,18
Pakistan,105757,216823000,30,70,19
Cambodia,97097,16206000,13,105,20
Canada,87568,37346000,60,-95,21
Netherlands,82110,17290000,52.5,5.75,22
Russia,79984,147043000,60,100,23
Italy,54710,60466000,42.8333,12.8333,24
New Zealand,50140,4915000,-41,174,25
Iran,46559,82231000,32,53,26
Myanmar,46257,54189000,22,98,27
Spain,43616,46791000,40,-4,28
Egypt,29831,99149000,27,30,29
Sweden,29592,10236000,62,15,30
Poland,27033,38447000,52,20,31
Laos,26955,7018000,19.8563,102.4955,32
Sri Lanka,26058,21789000,7,81,33
Switzerland,25659,8549000,47,8,34
Oman,23911,4649000,21,57,35
South Africa,22674,58198000,-29,24,36
Denmark,22314,5814000,56,10,37
Belgium,22082,11459000,50.8333,4,38
Iraq,21421,38328000,33,44,39
Nepal,20437,29419000,28,84,40
Ireland,19696,4902000,53,-8,41
Kazakhstan,18138,18400000,48,68,42
Ukraine,16019,42169000,49,32,43
Turkey,15290,81821000,38.9637,35.2433,44
Norway,14585,5333000,62,10,45
Finland,13557,5523000,64,26,46
United Arab Emirates,11174,9654000,24,54,47
Kuwait,9632,4244000,29.375,47.6581,48
