Country,Year,Tourist_Arrivals,Average_Per_Capita(RM),Average_Per_Diem(RM),Total_Expenditure(RM Million),Continent
Singapore,2019,10163882,2021.6,777.5,20547.3,Southeast Asia
Thailand,2019,1884306,2103.6,427.8,3963.8,Southeast Asia
Indonesia,2019,3623277,3571.1,691.9,12939,Southeast Asia
Brunei,2019,1216123,2313.1,797.6,2813,Southeast Asia
Philippines,2019,421908,3277.6,728.4,1382.9,Southeast Asia
Vietnam,2019,400346,3766.3,660.8,1507.8,Southeast Asia
Other ASEAN,2019,170309,3330.5,469.1,567.2,Southeast Asia
China,2019,3114257,4921,767.7,15325.3,East Asia
Japan,2019,424694,5357,778.5,2275.1,East Asia
South Korea,2019,673065,4971.6,742.9,3346.2,East Asia
Taiwan,2019,382916,5832.2,942.2,2233.2,East Asia
Other East Asia,2019,5331,4119.1,629.3,22,East Asia
India,2019,735309,4922.6,679.7,3619.6,South Asia
Pakistan,2019,105757,4336.4,612,458.6,South Asia
Other South Asia,2019,254822,4098.5,611.1,1044.4,South Asia
Saudi Arabia,2019,121444,11660.1,1078.8,1416.1,West Asia
United Arab Emirates,2019,11174,10094.9,1042,112.8,West Asia
Oman,2019,23911,9122.2,989.6,218.1,West Asia
Kuwait,2019,9632,9080,889.2,87.5,West Asia
Iran,2019,46559,8554.6,961.2,398.3,West Asia
Other West Asia,2019,96504,9593.3,996.7,925.8,West Asia
Canada,2019,87568,4975.8,546.9,435.7,America
United States of America,2019,269928,4728.5,518.2,1276.3,America
Other Americas,2019,49226,4348.7,519.4,214.1,America
United Kingdom,2019,346485,6093.5,635.8,2111.3,Europe
Ireland,2019,19696,4799.9,554.5,94.5,Europe
Sweden,2019,29592,4692,608,138.8,Europe
Denmark,2019,22314,4412.3,469.2,98.5,Europe
Finland,2019,13557,4166.2,612.2,56.5,Europe
Norway,2019,14585,4090.4,548.2,59.7,Europe
Italy,2019,54710,4373.3,549.1,239.3,Europe
Spain,2019,43616,4177.9,469.8,182.2,Europe
France,2019,141661,4445.9,466.7,629.8,Europe
Belgium,2019,22082,4042.6,477.3,89.3,Europe
Netherlands,2019,82110,4024.1,420,330.4,Europe
Germany,2019,130221,4835.9,556,629.7,Europe
Switzerland,2019,25659,4390.8,480.5,112.7,Europe
Russia,2019,79984,4607.4,521.4,368.5,Europe
Other Europe,2019,155032,4855.6,554.4,752.8,Europe
Australia,2019,368271,4722.2,621.3,1739.1,Non Southeast Asia
New Zealand,2019,50140,4439.8,602.6,222.6,Non Southeast Asia
South Africa,2019,22674,4352.9,549.2,98.7,Non Southeast Asia
Central Asia,2019,35931,4470.1,505.8,160.6,Non Southeast Asia
Others,2019,150216,5981.8,699.7,898.6,Non Southeast Asia
Singapore,2018,10615986,2567.9,1069.9,27260.3,Southeast Asia
Thailand,2018,1914692,1995.8,423.2,3821.3,Southeast Asia
Indonesia,2018,3277689,3378,675.6,11071.9,Southeast Asia
Brunei,2018,1382031,2489.5,889.1,3440.6,Southeast Asia
Philippines,2018,396062,2815.5,670.4,1115.1,Southeast Asia
Vietnam,2018,375578,3551.7,645.8,1333.9,Southeast Asia
Other ASEAN,2018,152408,3149.9,443.6,480.1,Southeast Asia
China,2018,2944133,4179.4,685.1,12304.6,East Asia
Japan,2018,394540,4233,641.4,1670.1,East Asia
South Korea,2018,616783,4464.8,676.5,2753.8,East Asia
Taiwan,2018,383922,4357.1,854.3,1672.8,East Asia
Other East Asia,2018,4311,3675.2,583.4,15.8,East Asia
India,2018,600311,4616.5,678.9,2771.3,South Asia
Pakistan,2018,74458,4118.5,534.9,306.7,South Asia
Other South Asia,2018,221827,3251.5,511.9,721.3,South Asia
Saudi Arabia,2018,112263,11628,1066.8,1305.4,West Asia
United Arab Emirates,2018,9386,9387.8,1021.9,88.1,West Asia
Oman,2018,22295,8491.2,967.9,189.3,West Asia
Kuwait,2018,7928,8334.5,890.9,66.1,West Asia
Iran,2018,67094,8412.8,1051.6,564.4,West Asia
Other West Asia,2018,96767,9582.4,1030.4,927.3,West Asia
Canada,2018,84705,4508.7,486.3,381.9,America
United States of America,2018,253384,4534.9,604.7,1149.1,America
Other Americas,2018,51708,4416.7,701.1,228.4,America
United Kingdom,2018,361335,5769.7,613.8,2084.8,Europe
Ireland,2018,19687,4404.8,512,86.7,Europe
Sweden,2018,32665,4692.2,646.1,153.3,Europe
Denmark,2018,23566,4360.6,464.7,102.8,Europe
Finland,2018,13575,3822.8,612.2,51.9,Europe
Norway,2018,15202,4372.8,607.3,66.5,Europe
Italy,2018,52055,4131.9,693.8,215.1,Europe
Spain,2018,42267,4045.7,465,171,Europe
France,2018,139408,4331.6,486.7,603.9,Europe
Belgium,2018,20624,4094.4,487.4,84.4,Europe
Netherlands,2018,81651,4184.9,450,341.7,Europe
Germany,2018,128895,4081.8,485.9,526.1,Europe
Switzerland,2018,25680,4360.7,495.5,112,Europe
Russia,2018,72785,4584.1,565.9,333.7,Europe
